,object1,object2,,,,,,,,,,,,,,,,,,,,
151,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
152,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
153,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
154,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
155,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
156,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
157,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
158,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
159,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
160,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
161,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
162,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
163,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
164,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
165,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
166,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
167,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
168,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
169,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
170,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
171,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
172,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
173,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
174,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
175,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
176,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
177,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
178,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
179,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
180,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
181,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
182,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
183,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
184,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
185,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
186,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
187,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
188,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
189,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
190,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
191,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
192,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
193,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
194,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
195,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
196,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
197,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
198,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
199,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
200,3.876617062,-377.2398682,377.2398682,,,,,,,,,,,,,,,,,,,
201,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
202,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
203,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
204,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
205,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
206,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
207,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
208,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
209,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
210,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
211,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
212,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
213,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
214,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
215,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
216,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
217,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
218,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
219,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
220,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
221,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
222,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
223,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
224,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
225,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
226,4.006362685,-538.6559448,538.6559448,,,,,,,,,,,,,,,,,,,
227,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
228,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
229,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
230,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
231,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
232,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
233,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
234,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
235,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
236,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
237,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
238,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
239,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
240,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
241,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
242,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
243,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
244,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
245,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
246,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
247,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
248,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
249,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
250,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
251,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
252,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
253,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
254,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
255,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
256,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
257,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
258,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
259,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
260,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
261,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
262,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
263,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
264,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
265,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
266,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
267,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
268,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
269,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
270,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
271,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
272,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
273,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
274,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
275,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
276,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
277,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
278,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
279,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
280,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
281,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
282,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
283,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
284,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
285,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
286,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
287,4.011761504,-539.7266235,539.7266235,,,,,,,,,,,,,,,,,,,
288,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
289,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
290,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
291,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
292,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
293,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
294,4.00622306,-538.1536865,538.1536865,,,,,,,,,,,,,,,,,,,
295,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
296,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
297,3.97341144,-530.1997681,530.1997681,,,,,,,,,,,,,,,,,,,
298,3.98434862,-532.8544312,532.8544312,,,,,,,,,,,,,,,,,,,
299,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
300,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
301,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
302,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
303,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
304,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
305,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
306,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
307,3.896690016,-489.6962891,489.6962891,,,,,,,,,,,,,,,,,,,
308,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
309,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
310,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
311,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
312,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
313,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
314,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
315,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
316,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
317,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
318,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
319,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
320,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
321,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
322,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
323,5.115672235,-566.0910645,566.0910645,,,,,,,,,,,,,,,,,,,
324,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
325,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
326,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
327,3.95125775,-523.8408203,523.8408203,,,,,,,,,,,,,,,,,,,
328,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
329,5.115672235,-566.0910645,566.0910645,,,,,,,,,,,,,,,,,,,
330,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
331,4.03931393,-547.0236206,547.0236206,,,,,,,,,,,,,,,,,,,
332,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
333,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
334,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
335,4.017299864,-541.2936401,541.2936401,,,,,,,,,,,,,,,,,,,
336,3.967733372,-528.09729,528.09729,,,,,,,,,,,,,,,,,,,
337,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
338,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
339,4.000963949,-537.5762939,537.5762939,,,,,,,,,,,,,,,,,,,
340,3.995425506,-536.008606,536.008606,,,,,,,,,,,,,,,,,,,
341,3.989747438,-533.9233398,533.9233398,,,,,,,,,,,,,,,,,,,
342,4.000963949,-537.5762939,537.5762939,,,,,,,,,,,,,,,,,,,
343,4.055789307,-551.1533203,551.1533203,,,,,,,,,,,,,,,,,,,
344,3.984208995,-532.3345337,532.3345337,,,,,,,,,,,,,,,,,,,
345,3.984208995,-532.3345337,532.3345337,,,,,,,,,,,,,,,,,,,
346,3.989887063,-534.4333496,534.4333496,,,,,,,,,,,,,,,,,,,
347,4.006362685,-538.6559448,538.6559448,,,,,,,,,,,,,,,,,,,
348,4.022838308,-542.854187,542.854187,,,,,,,,,,,,,,,,,,,
