,object1,object2,
161,3.595367817,-551.7873535,551.7873535
162,3.229485213,-422.8791504,422.8791504
163,2.6542741,-213.305069,213.305069
164,3.595367817,-551.7873535,551.7873535
165,3.595367817,-551.7873535,551.7873535
166,2.735214362,-256.2388,256.2388
167,2.598830456,-201.5144653,201.5144653
168,2.892424589,-310.7840271,310.7840271
169,4.097693777,-670.8959961,670.8959961
170,3.534852851,-527.8667603,527.8667603
171,3.061573995,-359.0191956,359.0191956
172,2.985063851,-340.9883118,340.9883118
173,3.027404845,-345.3366089,345.3366089
174,2.610658932,-203.8709412,203.8709412
175,2.862797742,-303.2289124,303.2289124
176,2.965331026,-336.3669434,336.3669434
177,2.93145914,-321.4042053,321.4042053
178,3.782289863,-598.2081299,598.2081299
179,3.726071046,-587.8411865,587.8411865
180,3.508829817,-518.2374878,518.2374878
181,3.739082563,-592.40271,592.40271
182,3.782289863,-598.2081299,598.2081299
183,2.892424589,-310.7840271,310.7840271
184,3.905235447,-632.4561157,632.4561157
185,2.772955521,-264.3383789,264.3383789
186,3.712224938,-584.2908325,584.2908325
187,3.217656561,-418.2659912,418.2659912
188,3.550244996,-533.7148438,533.7148438
189,3.090990444,-367.4571838,367.4571838
190,3.527522063,-523.930481,523.930481
191,3.020074057,-342.4685974,342.4685974
192,2.847851788,-299.1552124,299.1552124
193,2.603676594,-202.465271,202.465271
194,2.985063851,-340.9883118,340.9883118
195,3.372099858,-478.0661316,478.0661316
196,3.502049242,-515.2907104,515.2907104
197,3.726071046,-587.8411865,587.8411865
198,2.780840553,-267.5275574,267.5275574
199,3.141577464,-380.8821716,380.8821716
200,2.901832293,-313.5493774,313.5493774
201,3.582356494,-546.8460693,546.8460693
202,2.756340191,-260.3792419,260.3792419
203,3.57626803,-543.8369751,543.8369751
204,3.263110878,-433.3552246,433.3552246
205,3.072986462,-365.1855774,365.1855774
206,3.89222393,-628.2255249,628.2255249
207,3.355246781,-464.870636,464.870636
208,3.508829817,-518.2374878,518.2374878
209,4.035038331,-655.9912109,655.9912109
210,3.205828085,-407.1289063,407.1289063
211,3.520252925,-522.3702393,522.3702393
212,3.706136475,-581.4672852,581.4672852
213,3.267502467,-440.4057312,440.4057312
214,2.944470657,-325.0027161,325.0027161
215,2.901832293,-313.5493774,313.5493774
216,3.316023213,-456.7518005,456.7518005
217,3.527522063,-523.930481,523.930481
