,number,value,datetime_start,datetime_complete,duration,params_lr,params_model_dim,params_otherfeatures_hidden_size,params_skin_hidden_size,params_stringer_hidden_size,params_weight_decay,state,,number,value,,9,1857.15186,,7,861.4396769,,9,4015.743273
38,132.01714,,,,,,,,,,,,,,,,,,,,,,,
39,315.81636,,,,,,,,,,,,,,,,,,,,,,,
40,215.4761,,,,,,,,,,,,,,,,,,,,,,,
41,226.08302,,,,,,,,,,,,,,,,,,,,,,,
41,192.75252,,,,,,,,,,,,,,,,,,,,,,,
42,230.52934,,,,,,,,,,,,,,,,,,,,,,,
43,148.03259,,,,,,,,,,,,,,,,,,,,,,,
44,183.29377,,,,,,,,,,,,,,,,,,,,,,,
45,296.15552,,,,,,,,,,,,,,,,,,,,,,,
46,254.27629,,,,,,,,,,,,,,,,,,,,,,,
47,189.20312,,,,,,,,,,,,,,,,,,,,,,,
48,185.13129,,,,,,,,,,,,,,,,,,,,,,,
49,183.45189,,,,,,,,,,,,,,,,,,,,,,,
49,181.23891,,,,,,,,,,,,,,,,,,,,,,,
49,194.31893,,,,,,,,,,,,,,,,,,,,,,,
50,185.48913,,,,,,,,,,,,,,,,,,,,,,,
50,184.32191,,,,,,,,,,,,,,,,,,,,,,,
50,183.32913,,,,,,,,,,,,,,,,,,,,,,,
