,object1,object2,,,,πÈ“ªæÿ’Û,,,,,,,,,,,,,,,,,,,,,,
14,1.931135082,-133.5089569,133.5089569,,,0.011450192,0.036579928,,,,3.48004E-05,0.000111274,-0.000357257,-0.001012984,,,,,,,0.005726987,0.018283922,,0.690419169,0.019159853,0.027001718,,
15,3.02808003,-417.5737915,417.5737915,,,0.70806571,0.72614459,,,,0.002156579,0.002213532,-0.013239739,-0.013531688,,,,,,,0.354149798,0.362952366,,0.200369248,0.507105997,0.716782673,,
16,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
17,2.931837082,-384.1412964,384.1412964,,,0.646946572,0.644987528,,,,0.00197006,0.001965652,-0.012272864,-0.012249807,,,,,,,0.323580134,0.322387239,,0.250573859,0.456768682,0.645753161,,
18,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
19,2.942913947,-385.1139832,385.1139832,,,0.653980941,0.647348716,,,,0.001991523,0.001972862,-0.012384995,-0.012287516,,,,,,,0.32709848,0.323567443,,0.247262669,0.460097055,0.650442822,,
20,2.511920695,-276.789093,276.789093,,,0.380278429,0.384391084,,,,0.001157071,0.001170533,-0.007823958,-0.007901446,,,,,,,0.190202021,0.192132057,,0.436991462,0.270354456,0.382209679,,
21,2.22728186,-207.2428589,207.2428589,,,0.199518374,0.215568268,,,,0.00060674,0.000656103,-0.004494371,-0.004808706,,,,,,,0.099792139,0.107748531,,0.560615165,0.146861209,0.207584613,,
22,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
23,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
24,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
25,1.913104719,-118.4399261,118.4399261,,,1.00E-08,1.00E-08,,,,3.03918E-11,3.0416E-11,-7.35993E-10,-7.36556E-10,,,,,,,5.00165E-09,4.99835E-09,,0.707340343,3.30316E-12,4.66983E-12,,
26,1.918864688,-120.0663834,120.0663834,,,0.003657872,0.003948209,,,,1.1117E-05,1.2009E-05,-0.000126813,-0.00013606,,,,,,,0.00182954,0.001973453,,0.704651235,0.00269104,0.003804438,,
27,2.208820419,-170.9529114,170.9529114,,,0.187794425,0.127474768,,,,0.000571067,0.000387878,-0.004264729,-0.003046711,,,,,,,0.093928228,0.063716331,,0.596251643,0.113500138,0.159915256,,
28,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
29,2.115661577,-159.4554596,159.4554596,,,0.128633849,0.099564814,,,,0.000391094,0.000302928,-0.003068745,-0.002454329,,,,,,,0.064338169,0.049765963,,0.626741253,0.081339105,0.114872703,,
30,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
31,2.825810486,-358.0897827,358.0897827,,,0.579614321,0.581747729,,,,0.00176466,0.001772582,-0.011187587,-0.011229869,,,,,,,0.289902888,0.290777784,,0.296737753,0.4106037,0.580488671,,
32,3.45466223,-518.375,518.375,,,0.978966982,0.970838557,,,,0.002984134,0.00296165,-0.017351086,-0.017242753,,,,,,,0.489645175,0.485258937,,0.018244601,0.689368278,0.974216692,,
33,3.084857347,-434.9308167,434.9308167,,,0.744122179,0.768278602,,,,0.002266646,0.002342271,-0.013802638,-0.014186281,,,,,,,0.372183987,0.384012414,,0.172831247,0.534777006,0.755752923,,
34,3.487782456,-530.3880005,530.3880005,,,1,1,,,,0.003048443,0.003050882,-0.017660011,-0.017671698,,,,,,,0.500165158,0.499834842,,0.000330316,0.707106813,0.999533081,,
35,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
36,3.002808783,-404.2714539,404.2714539,,,0.692017191,0.693853292,,,,0.002107596,0.002114889,-0.012987446,-0.013025079,,,,,,,0.346122887,0.346812051,,0.217361902,0.489979229,0.692705694,,
37,3.265404222,-477.5820618,477.5820618,,,0.858778575,0.87181409,,,,0.002616811,0.002658762,-0.015559034,-0.015766178,,,,,,,0.429531121,0.435763058,,0.095586597,0.611871243,0.864887218,,
38,2.692898771,-322.7034302,322.7034302,,,0.49520866,0.495847697,,,,0.001507296,0.001510449,-0.009793563,-0.009810895,,,,,,,0.247686118,0.247841955,,0.356949106,0.350391271,0.495364442,,
39,3.127009452,-437.2668152,437.2668152,,,0.770890897,0.773949216,,,,0.002348377,0.0023596,-0.014217147,-0.014273843,,,,,,,0.385572767,0.386846784,,0.161159765,0.546183838,0.772161982,,
40,2.799787452,-351.0363159,351.0363159,,,0.563088378,0.564625506,,,,0.00171426,0.001720321,-0.010917733,-0.010950262,,,,,,,0.281637187,0.282219501,,0.308633737,0.398707093,0.563670407,,
41,2.52299756,-279.2832947,279.2832947,,,0.387312798,0.390445735,,,,0.0011785,0.001188993,-0.00794723,-0.008007448,,,,,,,0.193720367,0.195158382,,0.432362745,0.274980674,0.3887513,,
42,2.659778545,-316.181488,316.181488,,,0.474175642,0.480015745,,,,0.001443184,0.001462152,-0.009439729,-0.009544701,,,,,,,0.237166135,0.239928594,,0.369988588,0.337362566,0.476937889,,
43,3.438102364,-514.0779419,514.0779419,,,0.968450629,0.960407489,,,,0.002951983,0.002929736,-0.017196122,-0.017088689,,,,,,,0.484385262,0.480045126,,0.02556992,0.681962165,0.963860409,,
44,3.265404222,-477.5820618,477.5820618,,,0.858778575,0.87181409,,,,0.002616811,0.002658762,-0.015559034,-0.015766178,,,,,,,0.429531121,0.435763058,,0.095586597,0.611871243,0.864887218,,
45,2.659778545,-316.181488,316.181488,,,0.474175642,0.480015745,,,,0.001443184,0.001462152,-0.009439729,-0.009544701,,,,,,,0.237166135,0.239928594,,0.369988588,0.337362566,0.476937889,,
