,object1,object2,
262,2.84863326,-332.7548523,332.7548523
263,3.330718865,-565.3168335,565.3168335
264,3.621390851,-700.1879883,700.1879883
265,2.84863326,-332.7548523,332.7548523
266,2.624131338,-216.8837433,216.8837433
267,2.941455035,-391.4428101,391.4428101
268,3.329117462,-548.7907715,548.7907715
269,3.234072472,-502.3348083,502.3348083
270,3.024531497,-434.2544556,434.2544556
271,3.597037089,-687.1246338,687.1246338
272,3.610048607,-692.7156982,692.7156982
273,2.935224286,-389.6160583,389.6160583
274,3.044466068,-441.3389893,441.3389893
275,3.010685492,-430.3258057,430.3258057
276,3.662929072,-712.9984131,712.9984131
277,2.785000706,-302.3297729,302.3297729
278,2.785000706,-302.3297729,302.3297729
279,3.546214216,-648.6091919,648.6091919
280,3.649082964,-708.8427734,708.8427734
281,2.9606973,-397.9385376,397.9385376
282,2.935224286,-389.6160583,389.6160583
283,2.655285082,-221.7084351,221.7084351
284,3.602290871,-691.4042969,691.4042969
285,2.796829358,-305.9793396,305.9793396
286,3.394767546,-581.3283691,581.3283691
287,3.077411963,-454.1870422,454.1870422
288,2.84863326,-332.7548523,332.7548523
289,2.836804608,-328.4492798,328.4492798
290,3.024531497,-434.2544556,434.2544556
291,2.796829358,-305.9793396,305.9793396
292,2.84863326,-332.7548523,332.7548523
293,3.271749742,-539.4199829,539.4199829
294,3.024531497,-434.2544556,434.2544556
295,2.796829358,-305.9793396,305.9793396
296,2.880259173,-350.5601196,350.5601196
297,3.597037089,-687.1246338,687.1246338
298,3.430253326,-598.4420776,598.4420776
299,3.01151998,-433.3481445,433.3481445
300,3.329117462,-548.7907715,548.7907715
301,3.174755078,-487.1925049,487.1925049
302,3.037543014,-439.324646,439.324646
303,2.903520616,-357.9526367,357.9526367
304,2.934674266,-388.665802,388.665802
305,3.649082964,-708.8427734,708.8427734
306,3.533752719,-644.7637939,644.7637939
307,2.841710206,-331.0363159,331.0363159
308,3.597037089,-687.1246338,687.1246338
309,3.086004393,-454.6054993,454.6054993
310,3.649082964,-708.8427734,708.8427734
311,3.037543014,-439.324646,439.324646
312,2.841710206,-331.0363159,331.0363159
313,2.903520616,-357.9526367,357.9526367
314,2.922212769,-385.0452576,385.0452576
315,3.182442531,-493.2375183,493.2375183
316,3.024531497,-434.2544556,434.2544556
317,2.796829358,-305.9793396,305.9793396
318,2.84863326,-332.7548523,332.7548523
319,2.92899363,-387.7960815,387.7960815
320,3.577937109,-678.1131592,678.1131592
321,3.240995423,-504.7713013,504.7713013
322,2.701943796,-247.7008667,247.7008667
323,2.766941398,-297.2391968,297.2391968
324,2.84863326,-332.7548523,332.7548523
325,3.265661279,-535.963562,535.963562
326,2.922212769,-385.0452576,385.0452576
327,2.785000706,-302.3297729,302.3297729
328,3.571014055,-675.7629395,675.7629395
329,2.77877005,-300.8678589,300.8678589
330,2.84863326,-332.7548523,332.7548523
331,3.610048607,-692.7156982,692.7156982
332,3.024531497,-434.2544556,434.2544556
333,3.642160013,-706.7216187,706.7216187
334,3.656006018,-710.9257813,710.9257813
335,2.984662458,-420.64151,420.64151
336,3.086004393,-454.6054993,454.6054993
337,2.731416379,-272.8845215,272.8845215
338,3.174755078,-487.1925049,487.1925049
339,3.024531497,-434.2544556,434.2544556
340,2.84863326,-332.7548523,332.7548523
341,3.100827191,-473.6878967,473.6878967
342,2.915432,-382.3008423,382.3008423
343,2.947685783,-393.2844849,393.2844849
344,2.707957083,-266.6087646,266.6087646
345,2.935224286,-389.6160583,389.6160583
346,3.024531497,-434.2544556,434.2544556
347,3.841889568,-751.3735962,751.3735962
348,3.163200358,-485.0484009,485.0484009
349,3.024531497,-434.2544556,434.2544556
350,3.329117462,-548.7907715,548.7907715
351,3.329117462,-548.7907715,548.7907715
352,2.841710206,-331.0363159,331.0363159
353,2.772539301,-299.4022827,299.4022827
354,3.024531497,-434.2544556,434.2544556
355,3.063565855,-449.7862549,449.7862549
356,3.649082964,-708.8427734,708.8427734
357,2.909751364,-381.4268799,381.4268799
358,3.649082964,-708.8427734,708.8427734
359,3.329117462,-548.7907715,548.7907715
360,2.796829358,-305.9793396,305.9793396
361,2.702141717,-248.0499268,248.0499268
362,2.997673975,-425.4329834,425.4329834
363,3.649082964,-708.8427734,708.8427734
364,2.935224286,-389.6160583,389.6160583
365,2.84863326,-332.7548523,332.7548523
366,3.037543014,-439.324646,439.324646
367,2.836804608,-328.4492798,328.4492798
368,3.559775753,-654.4307861,654.4307861
369,3.024531497,-434.2544556,434.2544556
370,2.990750921,-423.53302,423.53302
371,2.935224286,-389.6160583,389.6160583
372,3.597037089,-687.1246338,687.1246338
373,2.785000706,-302.3297729,302.3297729
374,3.533202893,-643.749939,643.749939
375,2.77877005,-300.8678589,300.8678589
376,3.024531497,-434.2544556,434.2544556
377,2.935224286,-389.6160583,389.6160583
378,3.329117462,-548.7907715,548.7907715
379,2.841710206,-331.0363159,331.0363159
380,2.997673975,-425.4329834,425.4329834
381,2.84863326,-332.7548523,332.7548523
382,2.856997798,-343.4020386,343.4020386
383,3.649082964,-708.8427734,708.8427734
384,2.77877005,-300.8678589,300.8678589
385,3.010685492,-430.3258057,430.3258057
386,3.329117462,-548.7907715,548.7907715
387,3.024531497,-434.2544556,434.2544556
388,2.785000706,-302.3297729,302.3297729
389,2.977739404,-418.7341919,418.7341919
390,2.935224286,-389.6160583,389.6160583
391,3.050554338,-444.4350281,444.4350281
392,3.571014055,-675.7629395,675.7629395
393,3.520741395,-639.8676147,639.8676147
394,2.702141717,-248.0499268,248.0499268
395,2.941455035,-391.4428101,391.4428101
396,3.037543014,-439.324646,439.324646
397,2.922212769,-385.0452576,385.0452576
398,3.044466068,-441.3389893,441.3389893
399,3.584025572,-681.4656372,681.4656372
400,2.915982113,-383.233551,383.233551
