,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,2.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,145.0,161.0,16.0,30.0
11,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,141.0,125.0,16.0,30.0
12,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,155.0,125.0,16.0,30.0
13,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
14,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,142.0,156.0,16.0,30.0
15,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
16,3.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,142.0,156.0,16.0,30.0
17,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,155.0,125.0,16.0,30.0
18,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
19,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,125.0,125.0,16.0,16.0
20,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,141.0,125.0,16.0,30.0
