,object1,object2,1
132,3.45466223,-518.375,518.375
133,3.157763718,-446.3018188,446.3018188
134,2.431917028,-244.8558807,244.8558807
135,2.54267519,-281.1047058,281.1047058
136,2.588806704,-287.8774414,287.8774414
137,3.173140966,-450.7755432,450.7755432
138,2.659778545,-316.181488,316.181488
139,2.9176427,-373.6221924,373.6221924
140,2.877856361,-372.4813843,372.4813843
141,3.203895461,-459.6242981,459.6242981
142,2.588806704,-287.8774414,287.8774414
143,2.34438532,-217.4083099,217.4083099
144,2.511920695,-276.789093,276.789093
145,3.219272708,-464.021637,464.021637
146,3.002808783,-404.2714539,404.2714539
147,3.265404222,-477.5820618,477.5820618
148,3.203895461,-459.6242981,459.6242981
149,3.388422026,-501.0858154,501.0858154
150,3.45466223,-518.375,518.375
151,3.234649956,-468.5371094,468.5371094
152,3.421542252,-509.8599854,509.8599854
153,2.511920695,-276.789093,276.789093
154,3.234649956,-468.5371094,468.5371094
155,2.931837082,-384.1412964,384.1412964
156,3.173140966,-450.7755432,450.7755432
157,3.203895461,-459.6242981,459.6242981
158,3.234649956,-468.5371094,468.5371094
159,3.203895461,-459.6242981,459.6242981
160,3.203895461,-459.6242981,459.6242981
161,3.234649956,-468.5371094,468.5371094
162,3.265404222,-477.5820618,477.5820618
163,3.173140966,-450.7755432,450.7755432
164,2.799787452,-351.0363159,351.0363159
165,3.355301801,-491.9049683,491.9049683
166,2.511920695,-276.789093,276.789093
167,3.355301801,-491.9049683,491.9049683
168,3.487782456,-530.3880005,530.3880005
169,3.127009452,-437.2668152,437.2668152
170,2.573429456,-285.5253601,285.5253601
171,3.280781469,-482.7210083,482.7210083
172,3.219272708,-464.021637,464.021637
173,3.002808783,-404.2714539,404.2714539
174,2.799787452,-351.0363159,351.0363159
175,3.127009452,-437.2668152,437.2668152
176,3.173140966,-450.7755432,450.7755432
177,3.002808783,-404.2714539,404.2714539
178,3.002808783,-404.2714539,404.2714539
179,2.9886144,-403.3055725,403.3055725
180,3.265404222,-477.5820618,477.5820618
181,3.265404222,-477.5820618,477.5820618
182,3.127009452,-437.2668152,437.2668152
183,2.604183951,-290.2683716,290.2683716
184,3.234649956,-468.5371094,468.5371094
185,3.203895461,-459.6242981,459.6242981
186,3.219272708,-464.021637,464.021637
187,3.173140966,-450.7755432,450.7755432
188,3.219272708,-464.021637,464.021637
189,2.511920695,-276.789093,276.789093
190,3.002808783,-404.2714539,404.2714539
191,3.002808783,-404.2714539,404.2714539
192,2.511920695,-276.789093,276.789093
193,3.173140966,-450.7755432,450.7755432
194,3.438102364,-514.0779419,514.0779419
195,2.588806704,-287.8774414,287.8774414
196,3.355301801,-491.9049683,491.9049683
197,3.127009452,-437.2668152,437.2668152
198,3.203895461,-459.6242981,459.6242981
199,3.173140966,-450.7755432,450.7755432
200,3.002808783,-404.2714539,404.2714539
201,3.173140966,-450.7755432,450.7755432
202,3.127009452,-437.2668152,437.2668152
203,3.173140966,-450.7755432,450.7755432
204,3.203895461,-459.6242981,459.6242981
205,3.002808783,-404.2714539,404.2714539
206,3.265404222,-477.5820618,477.5820618
207,2.511920695,-276.789093,276.789093
208,2.588806704,-287.8774414,287.8774414
209,2.216204995,-188.1153259,188.1153259
210,3.002808783,-404.2714539,404.2714539
211,3.173140966,-450.7755432,450.7755432
212,3.203895461,-459.6242981,459.6242981
213,3.203895461,-459.6242981,459.6242981
214,3.127009452,-437.2668152,437.2668152
215,2.619561199,-292.7000732,292.7000732
216,3.355301801,-491.9049683,491.9049683
217,3.265404222,-477.5820618,477.5820618
218,2.511920695,-276.789093,276.789093
219,3.265404222,-477.5820618,477.5820618
220,3.203895461,-459.6242981,459.6242981
221,2.511920695,-276.789093,276.789093
222,3.173140966,-450.7755432,450.7755432
223,2.511920695,-276.789093,276.789093
224,2.511920695,-276.789093,276.789093
225,3.173140966,-450.7755432,450.7755432
226,3.355301801,-491.9049683,491.9049683
227,2.588806704,-287.8774414,287.8774414
228,3.002808783,-404.2714539,404.2714539
229,3.355301801,-491.9049683,491.9049683
230,2.511920695,-276.789093,276.789093
231,3.203895461,-459.6242981,459.6242981
